GeolCodeInt,DE,FR
15001001,Phanerozoikum,Phanérozoïque
15001002,Känozoikum,Cénozoïque
15001003,Quartär,Quaternaire
15001004,Holozän,Holocène
15001005,Pleistozän,Pléistocène
15001006,Spätes Pleistozän,Pléistocène supérieur
15001007,Mittleres Pleistozän,Pléistocène moyen
15001151,Chibanien,Chibaniensis
15001009,Frühes Pleistozän,Pléistocène inférieur
15001010,Calabrien,Calabrien
15001011,Gélasien,Gélasien
15001013,Neogen,Néogène
15001014,Pliozän,Pliocène
15001015,Plaisancien,Plaisancien
15001016,Zancléen,Zancléen
15001017,Miozän,Miocène
15001018,Spätes Miozän,Miocène supérieur
15001019,Messinien,Messinien
15001020,Tortonien,Tortonien
15001021,Mittleres Miozän,Miocène moyen
15001022,Serravallien,Serravallien
15001023,Langhien,Langhien
15001024,Frühes Miozän,Miocène inférieur
15001025,Burdigalien,Burdigalien
15001026,spätes Burdigalien,Burdigalien supérieur
15001027,frühes Burdigalien,Burdigalien inférieur
15001028,Aquitanien,Aquitanien
15001029,Paläogen,Paléogène
15001030,Oligozän,Oligocène
15001031,Chattien,Chattien
15001032,spätes Chattien,Chattien supérieur
15001033,frühes Chattien,Chattien inférieur
15001034,Rupélien,Rupélien
15001035,Eozän,Éocène
15001036,spätes Eozän,Éocène supérieur
15001037,Priabonien,Priabonien
15001038,spätes Priabonien,Priabonien supérieur
15001039,frühes Priabonien,Priabonien inférieur
15001040,mittleres Eozän,Éocène moyen
15001041,Bartonien,Bartonien
15001042,Lutétien,Lutétien
15001043,frühes Eozän,Éocène inférieur
15001044,Yprésien,Yprésien
15001045,Paleozän,Paléocène
15001046,Thanétien,Thanétien
15001047,Sélandien,Sélandien
15001048,Danien,Danien
15001049,Mesozoikum,Mésozoïque
15001050,Kreide,Crétacé
15001051,Späte Kreide,Crétacé supérieur
15001052,Maastrichtien,Maastrichtien
15001053,Campanien,Campanien
15001054,Santonien,Santonien
15001055,Coniacien,Coniacien
15001056,Turonien,Turonien
15001057,Cénomanien,Cénomanien
15001058,Frühe Kreide,Crétacé inférieur
15001059,Albien,Albien
15001060,Aptien,Aptien
15001061,Barrémien,Barrémien
15001062,Hauterivien,Hauterivien
15001063,Valanginien,Valanginien
15001064,Berriasien,Berriasien
15001065,Jura,Jurassique
15001066,Später Jura,Jurassique supérieur
15001067,Tithonien,Tithonien
15001068,Kimméridgien,Kimméridgien
15001069,Oxfordien,Oxfordien
15001070,Mittlerer Jura,Jurassique moyen
15001071,Callovien,Callovien
15001072,Bathonien,Bathonien
15001073,Bajocien,Bajocien
15001074,Aalénien,Aalénien
15001075,Früher Jura,Jurassique inférieur
15001076,Toarcien,Toarcien
15001077,Pliensbachien,Pliensbachien
15001155,Domérien,Domérien
15001156,Carixien,Carixien
15001078,Sinémurien,Sinémurien
15001079,Hettangien,Hettangien
15001080,Trias,Trias
15001081,Späte Trias,Trias supérieur
15001082,Rhät,Rhétien
15001083,Norien,Norien
15001084,Carnien,Carnien
15001085,Mittlere Trias,Trias moyen
15001086,Ladinien,Ladinien
15001087,Anisien,Anisien
15001088,Frühe Trias,Trias inférieur
15001089,Olénékien,Olénékien
15001090,Indusien,Indusien
15001091,Paläozoikum,Paléozoïque
15001092,spätes Paläozoikum,Paléozoïque supérieur
15001093,Perm,Permien
15001095,Lopingien,Lopingien
15001096,Changhsingien,Changhsingien
15001098,Wuchiapingien,Wuchiapingien
15001101,Guadalupien,Guadalupien
15001102,Capitanien,Capitanien
15001106,Wordien,Wordien
15001108,Roadien,Roadien
15001110,Cisuralien,Cisuralien
15001111,Kungurien,Kungurien
15001113,Artinskien,Artinskien
15001115,Sakmarien,Sakmarien
15001117,Asselien,Assélien
15001119,Karbon,Carbonifère
15001120,Pennsylvanien,Pennsylvanien
15001121,Spätes Pennsylvanien,Pennsylvanien supérieur
15001137,Gzhélien,Gzhélien
15001138,Kasimovien,Kasimovien
15001122,Mittleres Pennsylvanien,Pennsylvanien moyen
15001139,Moscovien,Moscovien
15001123,Frühes Pennsylvanien,Pennsylvanien inférieur
15001140,Bashkirien,Bashkirien
15001124,Mississippien,Mississippien
15001125,Spätes Mississippien,Mississippien supérieur
15001141,Serpukhovien,Serpukhovien
15001126,Mittleres Mississippien,Mississippien moyen
15001142,Viséen,Viséen
15001127,Frühes Mississippien,Mississippien inférieur
15001143,Tournaisien,Tournaisien
15001128,Devon,Dévonien
15001131,Spätes Devon,Dévonien supérieur
15001130,Mittleres Devon,Dévonien moyen
15001129,Frühes Devon,Dévonien inférieur
15001132,frühes Paläozoikum,Paléozoïque inférieur
15001133,Silur,Silurien
15001144,Pridoli,Pridoli
15001145,Ludlow,Ludlow
15001146,Wenlock,Wenlock
15001147,Llandovery,Llandovery
15001134,Ordovizium,Ordovicien
15001148,Spätes Ordovizium,Ordovicien supérieur
15001149,Mittleres Ordovizium,Ordovicien moyen
15001150,Frühes Ordovizium,Ordovicien inférieur
15001135,Kambrium,Cambrien
15001152,Präkambrium,Précambrien
15001136,Proterozoikum,Protérozoïque
15001153,Archaikum,Archéen
15001154,Hadaikum,Hadéen