OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,DESCRIPTION,GEOLCODE
8,{CC334A0C-A54D-458A-9CF6-DE79A20DDCE3},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Holz,12903008
21,{5A9C77D7-5CD3-4054-80C3-12C64E2BD8CC},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Palynomorphe,12903021
2,{C79DA6C9-9066-4A38-A59C-7C8C027491DB},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Ostrakoden,12903002
3,{8D8CBBEA-8EBB-4F6C-804D-911CABED811F},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Gastropoden,12903003
11,{A00CE538-5B0C-4F03-A546-3BDEB99B7A8B},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Korallen,12903011
12,{A17CAFFA-7FA8-4C9A-AE89-2EAC998445DA},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Brachiopoden,12903012
1,{14E65C56-E413-4737-A012-060CB81AD1FB},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Vertebraten,12903001
16,{66B29C96-1DBD-4060-8F2C-F62E466A497D},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Echinodermen,12903016
17,{2F13831C-2D55-4BD6-B540-A9BED70BE828},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Fische,12903017
19,{4C062B40-A5F5-46DF-9B84-BF5C40248398},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,S채ugetiere,12903019
4,{2AD50D1A-970D-4126-8374-1F4C9B5455E4},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Foraminiferen,12903004
14,{ADAA6212-9043-43AE-8197-5F2DFFA42200},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Cephalopoden,12903014
15,{E3CD6215-08CC-4D96-92DE-1F74B493FF54},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Bivalven,12903015
5,{20A3861F-A269-4DC1-AE30-0DEBCCC7401E},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Algen,12903005
10,{CD303A31-3918-461F-803E-901B01E55330},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Schw채mme,12903010
9,{9269D442-9AE4-4D1A-89AC-714BBDC2D6ED},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Ammoniten,12903009
13,{9B3BFACF-482F-4E76-84B6-DF79E895304A},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Mollusken,12903013
6,{D59E4D30-7A2E-4E52-B22D-6078D13F697C},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Bl채tter,12903006
7,{0E4FEE84-2793-4910-A0D7-8442C9F4A3FE},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Gr채ser,12903007
18,{59458F23-F5B5-4883-9054-36E00A50757C},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,Reptilien,12903018
