OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN,UUID
6,12903006,Lfos103006,Bl채tter,{D59E4D30-7A2E-4E52-B22D-6078D13F697C}
14,12903014,Lfos103014,Cephalopoden,{ADAA6212-9043-43AE-8197-5F2DFFA42200}
1,12903001,Lfos103001,Vertebraten,{14E65C56-E413-4737-A012-060CB81AD1FB}
7,12903007,Lfos103007,Gr채ser,{0E4FEE84-2793-4910-A0D7-8442C9F4A3FE}
15,12903015,Lfos103015,Bivalven,{E3CD6215-08CC-4D96-92DE-1F74B493FF54}
11,12903011,Lfos103011,Korallen,{A00CE538-5B0C-4F03-A546-3BDEB99B7A8B}
2,12903002,Lfos103002,Ostrakoden,{C79DA6C9-9066-4A38-A59C-7C8C027491DB}
8,12903008,Lfos103008,Holz,{CC334A0C-A54D-458A-9CF6-DE79A20DDCE3}
12,12903012,Lfos103012,Brachiopoden,{A17CAFFA-7FA8-4C9A-AE89-2EAC998445DA}
17,12903017,Lfos103017,Fische,{2F13831C-2D55-4BD6-B540-A9BED70BE828}
21,12903021,Lfos103021,Palynomorphe,{5A9C77D7-5CD3-4054-80C3-12C64E2BD8CC}
4,12903004,Lfos103004,Foraminiferen,{2AD50D1A-970D-4126-8374-1F4C9B5455E4}
5,12903005,Lfos103005,Algen,{20A3861F-A269-4DC1-AE30-0DEBCCC7401E}
10,12903010,Lfos103010,Schw채mme,{CD303A31-3918-461F-803E-901B01E55330}
18,12903018,Lfos103018,Reptilien,{59458F23-F5B5-4883-9054-36E00A50757C}
3,12903003,Lfos103003,Gastropoden,{8D8CBBEA-8EBB-4F6C-804D-911CABED811F}
9,12903009,Lfos103009,Ammoniten,{9269D442-9AE4-4D1A-89AC-714BBDC2D6ED}
13,12903013,Lfos103013,Mollusken,{9B3BFACF-482F-4E76-84B6-DF79E895304A}
19,12903019,Lfos103019,S채ugetiere,{4C062B40-A5F5-46DF-9B84-BF5C40248398}
16,12903016,Lfos103016,Echinodermen,{66B29C96-1DBD-4060-8F2C-F62E466A497D}
